factor,app_beta,baseline_beta,abs_diff
PivotalPath Composite EW Index,-3.0940292835780188,,
PivotalPath Composite Index,7.509433999403766,,
PivotalPath Credit Index,0.14302917441288177,,
PivotalPath Credit:Convertible Bond Arbitrage Index,0.19383818104010986,,
PivotalPath Credit:Distressed Index,-0.06560346840818584,,
PivotalPath Credit:Long/Short Index,-0.2619494614534528,,
PivotalPath Credit:Multi-Strategy Index,-0.12757651182358887,,
PivotalPath Credit:Relative Value Index,0.2841250859267348,,
PivotalPath Credit:Structured & MBS Index,-0.3119803459734475,,
PivotalPath Equity Diversified Index,-1.1094607999010027,,
PivotalPath Equity Diversified:Asia Long/Short Index,0.12632564215715997,,
PivotalPath Equity Diversified:Europe Long/Short Index,-0.10224368815128104,,
PivotalPath Equity Diversified:Global Long/Short Index,0.16816796589459793,,
PivotalPath Equity Diversified:U.S. Long/Short Index,-0.20919570351758432,,
PivotalPath Equity Market Neutral Index,0.3899375080334727,,
PivotalPath Equity Quant Index,0.23090370457706302,,
PivotalPath Equity Sector Index,-0.8242869462475972,,
PivotalPath Equity Sector:Consumer / Retail Index,0.04536700011124723,,
PivotalPath Equity Sector:Energy / Utilities / Industrials Index,-0.052880038237462124,,
PivotalPath Equity Sector:Financials Index,0.10300367621212304,,
PivotalPath Equity Sector:Healthcare Index,0.16580112413157916,,
PivotalPath Equity Sector:Real Estate Index,-0.07409442830996625,,
PivotalPath Equity Sector:Technology / Media / Telecom Index,0.21880359021497053,,
PivotalPath Event Driven Index,-3.0918755726661935,,
PivotalPath Event Driven:Equity Special Situations Index,0.2854568770894264,,
PivotalPath Event Driven:Merger Arbitrage Index,0.4256917218116596,,
PivotalPath Event Driven:Multi-Event Index,2.3768812247885722,,
PivotalPath Global Macro Index,-0.2625644325649724,,
PivotalPath Global Macro:Commodities Index,0.03617075596001213,,
PivotalPath Global Macro:Discretionary Index,-0.18144894027283903,,
PivotalPath Global Macro:Multi-Manager Index,-0.05539313137930896,,
PivotalPath Global Macro:Quantitative Index,-0.16374154004472574,,
PivotalPath Global Macro:Risk Premia Index,-0.13672600704297977,,
PivotalPath Managed Futures Index,-0.161068494317264,,
PivotalPath Managed Futures:Non-Trend Index,-0.07104581074360858,,
PivotalPath Managed Futures:Trend Following Index,-0.045511598988054736,,
PivotalPath Multi-Strategy Index,-0.7471840155091944,,
PivotalPath RV Index,-0.8705427569740933,,
PivotalPath Volatility Trading Index,0.0667140533947001,,
