asset,app_weight_pct,app_mean_return_pct,app_mc_to_risk,app_implied_return_pct,app_difference_pct,baseline_mean,baseline_mc_to_risk,baseline_implied_return,baseline_difference
12267: Trexquant Onshore Fund LP,2.7027027027027035,1.090923952248854,-0.001955736219856792,0.19580470707706824,0.8951192451717858,1.070412969088532,0.07929984318573986,0.08508066003489483,0.9853323090536372
Aquatic: Aquatic - Nautilus CFM (Net),2.7027027027027035,-0.4662589657670166,0.017666517468564475,1.5756541808563662,-2.041913146623383,-0.5915031530995187,1.9869707103934462,2.131817324207247,-2.723320477306766
Ares: Ares Pathfinder II,2.7027027027027035,0.31716267869043,0.0008238949172480886,0.3912701527255446,-0.07410747403511458,0.9820979157368203,-0.5172437911274785,-0.5549499391190575,1.537047854855878
Bayview Asset Management: MSR Fund,2.7027027027027035,0.8374403365093428,-0.009972965946255814,-0.36797203308745513,1.205412369596798,0.7637388132427245,0.5081770781924861,0.545222279014494,0.21851653422823047
Benefit Street Partners: Benefit Street Partners Origination Fund (CCFLX),2.7027027027027035,0.8627028959954702,-0.01145253281029674,-0.47201612461669973,1.33471902061217,0.8728977552125846,-0.48203512894296996,-0.5171746283837356,1.3900723835963202
BlackRock: GAO,2.7027027027027035,0.9855436270512975,0.005951474036653293,0.7518448075037562,0.23369881954754135,1.2240245840614499,0.2992786665173832,0.32109554645678046,0.9029290376046695
Blackstone: Badgerstone Access,2.7027027027027035,0.8609026198625432,-0.009128891066197738,-0.30861614575807433,1.1695187656206176,0.9021047179180594,-0.18409756111793116,-0.19751794431725442,1.0996226622353138
Blue Owl: Blue Owl Funding Partners (CCLFX),2.7027027027027035,0.6313466181940832,-0.00831164052234306,-0.2511465629675333,0.8824931811616166,0.8489291545414801,-0.215834256897375,-0.2315681885014359,1.0804973430429161
Brevan Howard Coinvests (Aksia): Brevan Howard Special Opportunities SPC,2.7027027027027035,-0.09669251915056086,0.014955192804015464,1.3849920902000616,-1.4816846093506224,0.23526581837368488,-0.4861038322177889,-0.5215399328559894,0.7568057512296743
Brevan Howard MB Macro Fund: Brevan Howard MB Macro Fund with proforma,2.7027027027027035,0.905806117032245,-0.012403622486315598,-0.5388973610847586,1.4447034781170036,0.8903656718571152,-0.6028109162790418,-0.6467547547746403,1.5371204266317555
D. E. Shaw: Cogence,2.7027027027027035,1.519407513709289,0.006621533117759891,0.798963792160017,0.720443721549272,1.7007493867712347,2.2178291229613043,2.3795049024774335,-0.6787555157061989
DE Shaw Composite Fund LLC: DE Shaw Composite Fund LLC,2.7027027027027035,1.360957669725029,-0.012468495209398776,-0.5434592526100818,1.9044169223351108,1.4252162442827232,-0.6592358294616609,-0.7072929432896479,2.132509187572371
Dockside: I-94 Minus Standalones,2.7027027027027035,0.98957236732045,0.012283557684045297,1.1971209937930045,-0.2075486264725545,1.0463513292958786,2.413451607491222,2.5893879165268787,-1.5430365872310001
Dorsal Capital Partners LP: Dorsal Capital Partners LP,2.7027027027027035,0.47656899594703434,-0.0006241771781041565,0.2894407935451903,0.18712820240184405,0.574255149395312,0.8393138537513957,0.900498333727363,-0.326243184332051
DYAL: DYAL II - Aksia,2.7027027027027035,-1.0765234133003378e-15,-0.005336004912916137,-0.04189795702123911,0.04189795702123803,1.2936613506325858,-2.264879627312316,-2.4299853045102915,3.7236466551428773
